REGION,WEEK,YEAR,TOTAL,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,SEASON
Pennsylvania,46,2016,453.0,2.0,2.0,0.88,0.44,0.44,FALL
South Carolina,46,2016,267.0,0.0,1.0,0.37,0.0,0.37,FALL
South Dakota,46,2016,122.0,1.0,0.0,0.82,0.82,0.0,FALL
Tennessee,46,2016,162.0,1.0,0.0,0.62,0.62,0.0,FALL
Texas,46,2016,1746.0,21.0,22.0,2.46,1.2,1.26,FALL
Utah,46,2016,483.0,7.0,0.0,1.45,1.45,0.0,FALL
Vermont,46,2016,75.0,1.0,0.0,1.33,1.33,0.0,FALL
Virginia,46,2016,181.0,0.0,0.0,0.0,0.0,0.0,FALL
Washington,46,2016,610.0,38.0,1.0,6.39,6.23,0.16,FALL
West Virginia,46,2016,427.0,2.0,0.0,0.47,0.47,0.0,FALL
Wisconsin,46,2016,576.0,4.0,0.0,0.69,0.69,0.0,FALL
Puerto Rico,46,2016,0.0,0.0,0.0,0.0,0.0,0.0,FALL
Alabama,47,2016,650.0,14.0,8.0,3.38,2.15,1.23,FALL
Arizona,47,2016,165.0,3.0,0.0,1.82,1.82,0.0,FALL
Arkansas,47,2016,56.0,0.0,0.0,0.0,0.0,0.0,FALL
California,47,2016,840.0,15.0,2.0,2.02,1.79,0.24,FALL
Colorado,47,2016,372.0,10.0,1.0,2.96,2.69,0.27,FALL
Connecticut,47,2016,328.0,5.0,1.0,1.83,1.52,0.3,FALL
Delaware,47,2016,94.0,6.0,0.0,6.38,6.38,0.0,FALL
Georgia,47,2016,765.0,7.0,5.0,1.57,0.92,0.65,FALL
Hawaii,47,2016,158.0,7.0,4.0,6.96,4.43,2.53,FALL
Idaho,47,2016,57.0,5.0,0.0,8.77,8.77,0.0,FALL
Illinois,47,2016,337.0,6.0,1.0,2.08,1.78,0.3,FALL
Indiana,47,2016,156.0,0.0,0.0,0.0,0.0,0.0,FALL
Iowa,47,2016,129.0,2.0,0.0,1.55,1.55,0.0,FALL
Kansas,47,2016,73.0,0.0,0.0,0.0,0.0,0.0,FALL
Kentucky,47,2016,243.0,0.0,0.0,0.0,0.0,0.0,FALL
Louisiana,47,2016,716.0,20.0,5.0,3.49,2.79,0.7,FALL
Maryland,47,2016,107.0,1.0,1.0,1.87,0.93,0.93,FALL
Massachusetts,47,2016,455.0,3.0,3.0,1.32,0.66,0.66,FALL
Michigan,47,2016,744.0,15.0,1.0,2.15,2.02,0.13,FALL
Minnesota,47,2016,276.0,1.0,0.0,0.36,0.36,0.0,FALL
Mississippi,47,2016,84.0,1.0,0.0,1.19,1.19,0.0,FALL
Missouri,47,2016,584.0,11.0,1.0,2.05,1.88,0.17,FALL
Montana,47,2016,119.0,3.0,0.0,2.52,2.52,0.0,FALL
Nebraska,47,2016,95.0,0.0,1.0,1.05,0.0,1.05,FALL
Nevada,47,2016,10.0,1.0,0.0,10.0,10.0,0.0,FALL
New Hampshire,47,2016,26.0,0.0,0.0,0.0,0.0,0.0,FALL
